Jeu,Titre,Chaîne,Nombre de vues,Date de la mise en ligne,Lien de la vidéo
League of Legends,Potato Aim - Wood Division Adventures #311 | League of Legends,Kshawaay,80000,il y a 5 jours,https://www.youtube.com/watch?v=19na3gH3d-0
League of Legends,Top hightlight | League of Legends | Part 1029,ELEVATOR FF,16000,Diffusé il y a 1 jour,https://www.youtube.com/watch?v=Rg3mq9ESa_w
League of Legends,TheBausffs vs Olaf - Classic - League of Legends #shorts,Czokled,212000,il y a 6 jours,https://www.youtube.com/watch?v=roRnPWOaNz8
League of Legends,IrelKing - Best Plays 3 - League of Legends #shorts,Czokled,223000,il y a 5 jours,https://www.youtube.com/watch?v=HBSiZBTSpbU
League of Legends,"league of legends is fine, believe me",aceu,41000,il y a 2 jours,https://www.youtube.com/watch?v=MQG482vQoyw
League of Legends,RIOT NEEDS TO NERF THIS HECARIM BUILD😩 (UNKILLABLE STRAT😈) - League of Legends Season 13,KingStix,35000,il y a 7 jours,https://www.youtube.com/watch?v=GOuqaDkQqwY
League of Legends,Broken Covenant Miss Fortune Skin Spotlight - Pre-Release - PBE Preview - League of Legends,SkinSpotlights,82000,il y a 3 jours,https://www.youtube.com/watch?v=VDgGPWHJong
League of Legends,[LOL] Summary Highlights League of Legends | Top Stages Part 7,مؤمل /mumil,12000,il y a 3 jours,https://www.youtube.com/watch?v=HY_lkk9_-8A
League of Legends,Top hightlight | League of Legends | Part 98,ELEVATOR FF,12000,il y a 2 jours,https://www.youtube.com/watch?v=YOmXG-N1H-A
League of Legends,Presidents play League of Legends (AI Voice meme),Voice Changer Tech,35000,il y a 5 jours,https://www.youtube.com/watch?v=EBT8gnEERDw
League of Legends,TheBausffs vs Irelia - Outplayed - League of Legends #shorts,Czokled,160000,il y a 6 jours,https://www.youtube.com/watch?v=cPGb0KJitZM
League of Legends,[LOL] Summary Highlights League of Legends | Top Stages Part 27,مؤمل /mumil,11000,il y a 2 jours,https://www.youtube.com/watch?v=NJEdYqUjpwQ
League of Legends,Top hightlight | League of Legends | Part 1015,ELEVATOR FF,11000,Diffusé il y a 6 jours,https://www.youtube.com/watch?v=qqFYjapIZvo
League of Legends,Top hightlight | League of Legends | Part 1019,ELEVATOR FF,11000,Diffusé il y a 5 jours,https://www.youtube.com/watch?v=6ZouSs3NpHU
League of Legends,TEEMO JUNGLE CLEARS WITH 100% HP😩 (TRAPPING ALL THE JUNGLE😈) - League of Legends,KingStix,26000,il y a 5 jours,https://www.youtube.com/watch?v=P7Z9EhwsbM0
League of Legends,The 7 BEST TIPS for ADC in Season 13 - League of Legends,Skill Capped Challenger LoL Guides,42000,il y a 3 jours,https://www.youtube.com/watch?v=lTCMEyYbdgs
League of Legends,Top hightlight | League of Legends | Part 59,ELEVATOR FF,13000,il y a 5 jours,https://www.youtube.com/watch?v=4KCdLUvM18I
League of Legends,Top hightlight | League of Legends | Part 1020,ELEVATOR FF,11000,Diffusé il y a 5 jours,https://www.youtube.com/watch?v=fKcNZ-YcFrw
League of Legends,Top hightlight | League of Legends | Part 40,ELEVATOR FF,11000,il y a 7 jours,https://www.youtube.com/watch?v=l23gKQ5p1vU
League of Legends,CRIT VI IS TAKING OVER 💪(#1 VI CARRY BUILD😩👌) | Vi Jungle Guide League of Legends,KingStix,29000,il y a 4 jours,https://www.youtube.com/watch?v=YChm5qe-2XA
League of Legends,[LOL] Summary Highlights League of Legends | Top Stages Part 26,مؤمل /mumil,10000,il y a 2 jours,https://www.youtube.com/watch?v=Kbki-JNm88Y
League of Legends,STOP Giving OP Champions FREE Wins! - League of Legends,Skill Capped Challenger LoL Guides,42000,il y a 2 jours,https://www.youtube.com/watch?v=WWDo7_47VRQ
League of Legends,NEW Season 13 TIER LIST for League of Legends (Patch 13.4),Mobalytics,49000,il y a 3 jours,https://www.youtube.com/watch?v=dz3KpTT2Ms8
League of Legends,WARWICK CHEESE THAT NO ONE TALKS ABOUT (MOST DMG DEALT/TAKEN) - League of Legends Warwick Season 13,KingStix,25000,il y a 3 jours,https://www.youtube.com/watch?v=Pbf__SsA5kw
League of Legends,Top hightlight | League of Legends | Part 105,ELEVATOR FF,99000,il y a 2 jours,https://www.youtube.com/watch?v=j2ru-4rf0tI
League of Legends,TheBausffs - Sion Moments 18 - League of Legends #shorts,Czokled,157000,il y a 5 jours,https://www.youtube.com/watch?v=kbgWEz4PD1Q
League of Legends,Top hightlight | League of Legends | Part 48,ELEVATOR FF,10000,il y a 6 jours,https://www.youtube.com/watch?v=UvlyZp3HmAI
League of Legends,Top hightlight | League of Legends | Part 1030,ELEVATOR FF,11000,Diffusé il y a 1 jour,https://www.youtube.com/watch?v=1etIeejy7zY
League of Legends,Broken Covenant Xayah Skin Spotlight - Pre-Release - PBE Preview - League of Legends,SkinSpotlights,58000,il y a 3 jours,https://www.youtube.com/watch?v=AEvX242suaI
League of Legends,Top hightlight | League of Legends | Part 115,ELEVATOR FF,18000,il y a 1 jour,https://www.youtube.com/watch?v=_F5PZVg0npQ
League of Legends,Top hightlight | League of Legends | Part 70,ELEVATOR FF,92000,il y a 4 jours,https://www.youtube.com/watch?v=njVMU5aPI7Y
League of Legends,Top hightlight | League of Legends | Part 50,ELEVATOR FF,85000,il y a 6 jours,https://www.youtube.com/watch?v=fJVPC8eYK7E
League of Legends,[LOL] Summary Highlights League of Legends | Top Stages Part 20,مؤمل /mumil,84000,il y a 2 jours,https://www.youtube.com/watch?v=-kJu_4aDwk4
League of Legends,Riot Will Release FEWER New CHAMPIONS - League of Legends,Remus,43000,il y a 6 jours,https://www.youtube.com/watch?v=x54ROe5lKgI
League of Legends,NEW Tier List Patch 13.4 IN DEPTH ANALYSIS - League of Legends Season 13,ProGuides Challenger League of Legends Guides,34000,il y a 5 jours,https://www.youtube.com/watch?v=F-cRYbOS4AA
League of Legends,And they say ADC is a balanced role 🙂,Protatomonster,47000,il y a 3 jours,https://www.youtube.com/watch?v=kt3B1KyPmeA
League of Legends,Top hightlight | League of Legends | Part 1016,ELEVATOR FF,82000,Diffusé il y a 6 jours,https://www.youtube.com/watch?v=MB7ElBnxdVs
League of Legends,TheBausffs vs Fiora - League of Legends #shorts,Czokled,116000,il y a 4 jours,https://www.youtube.com/watch?v=OkLd7NngF3w
League of Legends,Pz ZZang - Best Yasuo Plays 6 - League of Legends #shorts,Czokled,141000,il y a 5 jours,https://www.youtube.com/watch?v=OFrVq0gJkCM
League of Legends,Top hightlight | League of Legends | Part 81,ELEVATOR FF,79000,il y a 4 jours,https://www.youtube.com/watch?v=XvSVuUSt2Ls
